match_date,league,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_injury_impact,away_injury_impact,home_motivation,away_motivation,home_rest_days,away_rest_days,result
2023-05-22,Turkish Super Lig,Galatasaray,Besiktas,1,0,1.58,0.8,1.33,0.73,0.2,0.17,6,2,H
2023-05-29,Turkish Super Lig,Besiktas,Galatasaray,1,0,1.84,0.1,0.73,1.08,0.5,0.98,4,4,H
2023-06-05,Turkish Super Lig,Galatasaray,Besiktas,1,0,1.59,0.1,0.59,0.97,0.37,0.43,3,5,H
2023-06-12,Turkish Super Lig,Fenerbahce,Besiktas,2,2,2.21,2.46,1.6,1.78,0.9,0.05,4,7,D
2023-06-19,Turkish Super Lig,Besiktas,Fenerbahce,1,2,1.4,2.42,0.93,0.9,0.21,0.12,5,6,A
2023-06-26,Turkish Super Lig,Galatasaray,Trabzonspor,0,0,0.27,0.81,0.09,0.35,0.38,0.1,4,4,D
2023-07-03,Turkish Super Lig,Besiktas,Trabzonspor,0,0,0.1,0.1,0.18,0.8,0.64,0.55,7,2,D
2023-07-10,Turkish Super Lig,Trabzonspor,Galatasaray,0,3,0.76,2.61,1.07,0.77,0.49,0.28,5,6,A
2023-07-17,Turkish Super Lig,Besiktas,Fenerbahce,0,1,0.13,2.57,1.19,1.35,0.03,0.77,6,2,A
2023-07-24,Turkish Super Lig,Fenerbahce,Trabzonspor,1,0,2.1,0.1,0.09,1.78,0.94,0.07,3,5,H
2023-07-31,Turkish Super Lig,Trabzonspor,Fenerbahce,2,1,0.9,0.99,1.3,0.84,0.98,0.82,6,7,H
2023-08-07,Turkish Super Lig,Galatasaray,Trabzonspor,1,0,1.36,0.39,0.95,0.22,0.44,0.67,5,6,H
2023-08-14,Turkish Super Lig,Besiktas,Trabzonspor,0,0,0.43,0.1,1.8,1.71,0.73,0.24,2,6,D
2023-08-21,Turkish Super Lig,Besiktas,Trabzonspor,1,0,1.18,1.1,1.02,1.07,0.63,0.75,3,3,H
2023-08-28,Turkish Super Lig,Fenerbahce,Besiktas,2,1,2.22,1.83,1.12,0.18,0.54,0.07,2,7,H
2023-09-04,Turkish Super Lig,Fenerbahce,Besiktas,2,3,1.74,3.26,0.61,0.89,0.13,0.87,2,5,A
2023-09-11,Turkish Super Lig,Fenerbahce,Trabzonspor,1,1,1.51,0.66,1.18,1.78,0.33,0.55,7,3,D
2023-09-18,Turkish Super Lig,Trabzonspor,Besiktas,1,1,1.47,1.03,0.15,1.02,0.48,0.69,4,2,D
2023-09-25,Turkish Super Lig,Galatasaray,Fenerbahce,2,2,2.74,2.45,1.3,1.25,0.28,0.14,4,7,D
2023-10-02,Turkish Super Lig,Besiktas,Fenerbahce,2,0,1.55,0.49,1.62,1.24,0.28,0.53,4,5,H
2023-10-09,Turkish Super Lig,Besiktas,Galatasaray,0,2,0.66,1.92,0.65,0.66,0.36,0.4,5,3,A
2023-10-16,Turkish Super Lig,Besiktas,Fenerbahce,0,0,0.1,0.1,1.37,1.59,0.28,0.02,6,2,D
2023-10-23,Turkish Super Lig,Fenerbahce,Besiktas,1,1,1.64,0.67,1.05,0.55,0.55,0.33,4,7,D
2023-10-30,Turkish Super Lig,Galatasaray,Fenerbahce,2,1,2.91,1.98,1.17,0.44,0.22,0.77,6,4,H
2023-11-06,Turkish Super Lig,Trabzonspor,Fenerbahce,0,2,0.14,2.48,0.88,1.45,0.07,0.62,2,5,A
2023-11-13,Turkish Super Lig,Besiktas,Galatasaray,1,0,2.45,0.1,1.15,0.94,0.71,0.8,5,5,H
2023-11-20,Turkish Super Lig,Fenerbahce,Galatasaray,1,0,1.04,0.46,0.37,0.76,0.29,0.97,2,5,H
2023-11-27,Turkish Super Lig,Besiktas,Trabzonspor,2,1,2.36,0.83,0.11,0.83,0.58,0.91,2,4,H
2023-12-04,Turkish Super Lig,Galatasaray,Trabzonspor,2,1,2.39,2.15,1.07,0.4,0.18,0.28,3,4,H
2023-12-11,Turkish Super Lig,Trabzonspor,Fenerbahce,0,1,1.15,0.96,1.39,0.17,0.86,0.4,3,3,A
2023-12-18,Turkish Super Lig,Trabzonspor,Besiktas,1,0,1.35,0.1,1.66,1.61,0.87,0.91,5,3,H
2023-12-25,Turkish Super Lig,Trabzonspor,Besiktas,2,0,2.35,0.1,1.63,1.46,0.13,0.74,6,4,H
2024-01-01,Turkish Super Lig,Galatasaray,Trabzonspor,1,0,1.68,1.48,0.27,0.23,0.35,0.61,6,2,H
2024-01-08,Turkish Super Lig,Trabzonspor,Besiktas,0,1,0.1,0.59,0.55,1.42,0.42,0.92,2,5,A
2024-01-15,Turkish Super Lig,Fenerbahce,Galatasaray,0,1,0.92,2.15,0.56,0.56,0.08,0.31,5,7,A
2024-01-22,Turkish Super Lig,Galatasaray,Fenerbahce,2,1,1.85,0.42,1.34,1.41,0.12,0.45,5,7,H
2024-01-29,Turkish Super Lig,Trabzonspor,Galatasaray,1,1,1.46,0.1,1.52,1.29,0.9,0.15,7,5,D
2024-02-05,Turkish Super Lig,Besiktas,Fenerbahce,1,0,1.63,0.4,0.68,0.2,0.31,0.27,5,7,H
2024-02-12,Turkish Super Lig,Besiktas,Fenerbahce,1,0,1.47,0.41,1.22,1.27,0.18,0.4,5,6,H
2024-02-19,Turkish Super Lig,Galatasaray,Trabzonspor,2,1,2.74,1.63,0.13,1.66,0.43,0.51,7,3,H
2024-02-26,Turkish Super Lig,Fenerbahce,Besiktas,1,1,1.21,1.26,0.72,1.26,0.98,0.79,7,6,D
2024-03-04,Turkish Super Lig,Galatasaray,Fenerbahce,1,1,1.13,0.97,0.68,0.92,0.79,0.83,6,7,D
2024-03-11,Turkish Super Lig,Fenerbahce,Trabzonspor,2,0,1.77,0.1,0.9,0.26,0.71,0.99,6,7,H
2024-03-18,Turkish Super Lig,Fenerbahce,Besiktas,3,0,3.38,0.44,0.44,1.04,0.7,0.33,4,4,H
2024-03-25,Turkish Super Lig,Trabzonspor,Galatasaray,0,1,0.36,1.98,0.98,0.11,0.92,0.17,7,4,A
2024-04-01,Turkish Super Lig,Fenerbahce,Galatasaray,1,1,1.07,0.68,1.36,0.65,0.17,0.6,2,5,D
2024-04-08,Turkish Super Lig,Galatasaray,Fenerbahce,3,3,4.12,2.87,0.55,1.21,0.74,0.38,6,7,D
2024-04-15,Turkish Super Lig,Galatasaray,Trabzonspor,2,1,2.67,1.66,1.03,0.31,0.52,0.26,6,4,H
2022-08-01,Premier League,Arsenal,Man City,2,0,2.44,0.1,0.9,0.18,0.35,0.9,7,6,H
2022-08-08,Premier League,Chelsea,Liverpool,0,1,0.92,0.2,0.74,0.78,0.57,0.91,6,4,A
2022-08-15,Premier League,Chelsea,Liverpool,2,0,3.21,0.53,1.62,1.32,0.6,0.75,4,6,H
2022-08-22,Premier League,Arsenal,Chelsea,2,1,1.7,1.19,0.09,1.25,0.53,0.24,4,7,H
2022-08-29,Premier League,Chelsea,Arsenal,3,0,3.15,0.1,0.66,0.98,0.56,0.16,7,7,H
2022-09-05,Premier League,Chelsea,Man City,1,1,0.99,1.16,1.59,1.04,0.45,0.3,7,4,D
2022-09-12,Premier League,Arsenal,Liverpool,2,1,1.6,1.43,0.25,1.25,0.23,0.31,5,4,H
2022-09-19,Premier League,Man City,Liverpool,0,1,0.97,1.1,0.37,0.53,0.92,0.9,3,4,A
2022-09-26,Premier League,Man City,Liverpool,2,1,2.05,0.47,0.96,0.43,0.95,0.98,7,2,H
2022-10-03,Premier League,Man City,Chelsea,2,0,2.21,0.82,1.58,0.6,0.96,0.78,5,2,H
2022-10-10,Premier League,Liverpool,Arsenal,1,0,1.13,0.1,1.3,0.9,0.3,0.27,7,6,H
2022-10-17,Premier League,Arsenal,Man City,0,0,0.6,0.1,0.41,0.24,0.67,0.46,2,5,D
2022-10-24,Premier League,Arsenal,Man City,1,0,0.66,0.1,0.76,1.02,0.16,0.99,3,3,H
2022-10-31,Premier League,Liverpool,Chelsea,1,0,1.39,0.1,1.62,1.12,0.92,0.58,2,5,H
2022-11-07,Premier League,Arsenal,Chelsea,3,1,3.75,0.92,0.87,0.06,0.29,0.83,7,7,H
2022-11-14,Premier League,Liverpool,Man City,1,0,0.96,0.1,0.79,1.39,0.79,0.79,3,4,H
2022-11-21,Premier League,Chelsea,Man City,1,2,1.14,2.2,1.07,1.29,0.57,0.87,3,4,A
2022-11-28,Premier League,Liverpool,Man City,2,1,1.71,1.46,0.47,1.44,0.07,0.91,6,7,H
2022-12-05,Premier League,Liverpool,Man City,2,1,2.8,1.34,1.12,0.95,0.26,0.59,2,7,H
2022-12-12,Premier League,Liverpool,Chelsea,1,1,0.89,0.15,1.42,0.11,0.41,0.36,3,7,D
2022-12-19,Premier League,Arsenal,Chelsea,0,1,0.63,1.17,0.82,1.34,0.04,0.24,6,3,A
2022-12-26,Premier League,Arsenal,Liverpool,0,0,1.77,0.1,1.22,1.29,0.98,0.61,4,4,D
2023-01-02,Premier League,Arsenal,Man City,2,0,2.67,0.42,0.56,1.7,0.92,0.22,3,5,H
2023-01-09,Premier League,Arsenal,Man City,1,2,1.83,1.6,1.6,0.83,0.39,0.84,5,5,A
2023-01-16,Premier League,Arsenal,Chelsea,1,1,1.59,0.16,0.86,0.72,0.59,0.76,5,5,D
2023-01-23,Premier League,Chelsea,Man City,0,0,0.47,0.77,0.13,1.24,0.36,0.27,2,6,D
2023-01-30,Premier League,Liverpool,Man City,1,1,2.14,0.76,0.48,0.65,0.15,0.94,4,3,D
2023-02-06,Premier League,Liverpool,Man City,2,0,3.45,0.19,0.81,1.54,0.38,0.26,6,7,H
2023-02-13,Premier League,Arsenal,Liverpool,1,1,1.63,1.29,1.07,0.06,0.31,0.42,6,7,D
2023-02-20,Premier League,Liverpool,Man City,1,0,1.16,0.1,0.26,0.37,0.28,0.71,5,3,H
2023-02-27,Premier League,Chelsea,Man City,1,0,1.16,0.73,0.39,0.07,0.02,0.63,6,2,H
2023-03-06,Premier League,Man City,Chelsea,0,0,0.49,1.1,1.2,1.72,0.87,0.23,7,4,D
2023-03-13,Premier League,Arsenal,Liverpool,2,1,0.92,1.29,0.51,1.27,0.22,0.93,3,5,H
2023-03-20,Premier League,Liverpool,Chelsea,1,0,1.76,0.5,0.76,0.27,0.58,0.7,6,4,H
2023-03-27,Premier League,Arsenal,Liverpool,3,2,3.71,1.95,0.68,1.52,0.3,0.72,4,2,H
2023-04-03,Premier League,Arsenal,Chelsea,0,2,0.1,2.01,1.2,0.33,0.47,0.62,4,2,A
2023-04-10,Premier League,Liverpool,Arsenal,0,0,0.1,0.53,0.5,1.49,0.88,0.38,5,2,D
2023-04-17,Premier League,Liverpool,Man City,0,1,0.1,2.47,0.27,0.35,0.23,0.68,3,6,A
2023-04-24,Premier League,Arsenal,Man City,1,0,0.18,0.1,1.38,0.14,0.82,0.88,7,4,H
2023-05-01,Premier League,Man City,Liverpool,1,1,1.44,0.82,0.71,0.28,0.19,0.16,4,6,D
2023-05-08,Premier League,Chelsea,Man City,1,2,0.7,2.86,0.9,1.16,0.36,0.71,6,7,A
2023-05-15,Premier League,Liverpool,Arsenal,3,1,3.69,0.86,1.53,0.92,0.68,0.04,6,5,H
2023-05-22,Premier League,Chelsea,Arsenal,0,2,0.24,1.28,0.46,1.14,0.37,0.68,3,4,A
2023-05-29,Premier League,Liverpool,Man City,2,0,1.47,0.65,1.12,1.5,0.8,0.13,5,6,H
2023-06-05,Premier League,Man City,Arsenal,0,0,0.1,0.36,1.42,1.67,0.27,0.27,4,7,D
2023-06-12,Premier League,Chelsea,Liverpool,4,0,5.2,0.49,0.21,0.08,0.29,0.73,2,5,H
2023-06-19,Premier League,Man City,Arsenal,2,0,2.41,0.4,0.79,1.57,0.65,0.22,7,6,H
2023-06-26,Premier League,Chelsea,Arsenal,2,1,2.04,0.49,1.44,0.26,0.18,0.11,4,5,H
2023-07-03,Premier League,Chelsea,Arsenal,2,3,2.2,3.97,0.49,0.72,0.32,0.08,3,4,A
2023-07-10,Premier League,Man City,Chelsea,2,1,2.7,0.88,0.14,0.33,0.48,1.0,3,5,H
2023-07-17,Premier League,Chelsea,Arsenal,0,2,0.14,2.33,0.99,1.18,0.62,0.28,4,3,A
2023-07-24,Premier League,Chelsea,Man City,2,0,2.36,0.32,0.3,0.21,0.07,0.36,6,4,H
2023-07-31,Premier League,Arsenal,Man City,0,1,0.83,1.42,1.38,0.48,0.25,0.92,5,5,A
2023-08-07,Premier League,Man City,Chelsea,2,0,2.58,0.18,1.71,0.72,0.71,0.25,6,2,H
2023-08-14,Premier League,Arsenal,Man City,2,1,2.19,0.5,0.5,1.79,0.63,0.45,4,4,H
2023-08-21,Premier League,Arsenal,Man City,1,1,0.8,2.05,0.38,1.34,0.55,0.68,3,4,D
2023-08-28,Premier League,Arsenal,Chelsea,2,1,2.23,1.23,0.9,0.73,0.32,0.54,3,2,H
2023-09-04,Premier League,Liverpool,Chelsea,3,1,2.83,0.95,0.85,1.69,0.5,0.78,3,4,H
2023-09-11,Premier League,Arsenal,Man City,0,2,1.07,1.49,0.95,0.02,0.73,0.66,7,2,A
2023-09-18,Premier League,Liverpool,Man City,0,0,0.82,0.1,0.91,1.02,0.11,0.84,7,7,D
2023-09-25,Premier League,Chelsea,Liverpool,0,0,0.1,0.49,1.08,1.03,0.52,0.03,7,5,D
2023-10-02,Premier League,Chelsea,Liverpool,0,0,0.61,0.1,0.84,1.79,0.74,0.31,7,5,D
2023-10-09,Premier League,Chelsea,Arsenal,1,1,2.0,1.16,0.42,1.51,0.65,0.94,2,2,D
2023-10-16,Premier League,Man City,Liverpool,3,2,3.19,1.76,1.45,0.82,0.54,0.87,3,5,H
2023-10-23,Premier League,Man City,Chelsea,1,1,0.36,1.57,1.58,0.13,0.5,0.06,6,2,D
2023-10-30,Premier League,Liverpool,Chelsea,2,1,3.65,0.55,0.4,0.52,0.42,0.61,2,7,H
2023-11-06,Premier League,Chelsea,Liverpool,3,2,3.53,3.01,1.58,1.31,0.2,0.67,5,5,H
2023-11-13,Premier League,Arsenal,Liverpool,1,0,2.13,0.1,0.38,0.38,0.77,0.17,6,5,H
2023-11-20,Premier League,Arsenal,Chelsea,1,1,0.83,1.9,0.55,0.01,0.07,0.21,7,4,D
2023-11-27,Premier League,Man City,Liverpool,1,1,1.24,1.78,1.1,0.5,0.13,0.12,2,4,D
2023-12-04,Premier League,Chelsea,Arsenal,0,1,1.18,2.06,1.71,0.14,0.65,0.23,5,5,A
2023-12-11,Premier League,Liverpool,Man City,1,1,0.93,0.76,0.6,1.05,0.66,0.27,7,7,D
2023-12-18,Premier League,Arsenal,Man City,1,0,0.73,0.77,1.56,0.7,0.28,0.1,6,2,H
2023-12-25,Premier League,Arsenal,Liverpool,2,0,1.92,0.64,1.3,1.2,0.34,0.9,2,7,H
2024-01-01,Premier League,Liverpool,Chelsea,2,1,1.61,1.18,1.17,0.11,0.22,0.02,5,5,H
2024-01-08,Premier League,Liverpool,Man City,1,0,3.59,1.06,1.18,1.42,0.93,0.52,6,3,H
2024-01-15,Premier League,Chelsea,Liverpool,1,0,2.18,0.81,0.01,1.73,0.7,0.79,4,7,H
2024-01-22,Premier League,Chelsea,Arsenal,0,1,0.1,1.62,1.5,1.59,0.11,0.41,6,6,A
2024-01-29,Premier League,Arsenal,Chelsea,1,1,1.85,1.75,0.23,0.16,0.51,0.29,3,3,D
2024-02-05,Premier League,Chelsea,Liverpool,1,1,0.57,1.43,0.83,1.53,0.1,0.85,3,3,D
2024-02-12,Premier League,Liverpool,Chelsea,0,0,0.23,0.1,1.48,0.41,0.8,0.11,7,7,D
2024-02-19,Premier League,Chelsea,Arsenal,0,2,0.1,2.59,1.64,0.98,0.76,0.78,5,5,A
2024-02-26,Premier League,Man City,Arsenal,1,2,0.96,1.68,1.61,0.37,0.99,0.56,3,6,A
2024-03-04,Premier League,Arsenal,Liverpool,1,0,0.96,0.1,0.15,1.43,0.38,0.65,4,5,H
2024-03-11,Premier League,Arsenal,Chelsea,1,1,1.61,1.7,0.58,1.47,0.68,0.71,2,4,D
2024-03-18,Premier League,Man City,Liverpool,2,0,1.34,0.1,0.67,1.07,0.1,0.69,4,3,H
2024-03-25,Premier League,Man City,Chelsea,1,0,1.55,1.19,0.1,0.33,0.12,0.76,4,2,H
2024-04-01,Premier League,Arsenal,Chelsea,2,1,2.48,0.59,1.55,0.72,0.29,0.68,2,5,H
2024-04-08,Premier League,Liverpool,Chelsea,1,1,1.75,0.24,1.16,0.1,0.76,0.05,6,2,D
2024-04-15,Premier League,Liverpool,Chelsea,1,0,2.22,0.1,1.04,0.01,0.74,0.42,7,7,H
2022-08-01,La Liga,Real Madrid,Sevilla,2,0,2.31,0.1,0.81,0.79,0.12,0.32,7,7,H
2022-08-08,La Liga,Real Madrid,Sevilla,2,0,2.76,0.1,1.27,0.71,0.69,0.65,2,3,H
2022-08-15,La Liga,Real Madrid,Barcelona,1,1,1.63,1.09,0.49,0.73,0.9,0.93,3,7,D
2022-08-22,La Liga,Sevilla,Barcelona,0,2,0.1,2.15,0.99,1.54,0.77,0.32,2,4,A
2022-08-29,La Liga,Barcelona,Atletico Madrid,0,2,0.1,2.13,1.03,1.52,0.36,0.58,5,7,A
2022-09-05,La Liga,Sevilla,Barcelona,2,1,1.92,0.79,0.74,0.08,0.92,0.8,4,5,H
2022-09-12,La Liga,Barcelona,Atletico Madrid,2,3,2.65,3.35,0.74,0.96,0.39,0.12,3,6,A
2022-09-19,La Liga,Real Madrid,Atletico Madrid,1,2,2.21,2.4,1.02,0.99,0.33,0.15,4,4,A
2022-09-26,La Liga,Real Madrid,Sevilla,2,0,2.53,0.91,1.1,0.22,0.76,0.58,4,7,H
2022-10-03,La Liga,Atletico Madrid,Barcelona,2,2,2.59,1.43,1.5,1.77,0.11,0.36,3,6,D
2022-10-10,La Liga,Atletico Madrid,Sevilla,1,1,1.77,1.71,0.49,0.51,0.28,0.51,5,3,D
2022-10-17,La Liga,Barcelona,Atletico Madrid,3,1,3.82,2.05,1.26,1.06,0.64,0.31,5,4,H
2022-10-24,La Liga,Barcelona,Sevilla,0,1,0.11,0.1,0.91,1.02,0.35,0.23,6,2,A
2022-10-31,La Liga,Real Madrid,Barcelona,2,0,2.02,0.1,1.78,0.56,0.87,0.06,7,7,H
2022-11-07,La Liga,Real Madrid,Sevilla,3,1,4.21,1.1,1.54,1.41,0.52,0.08,6,7,H
2022-11-14,La Liga,Barcelona,Real Madrid,0,1,0.1,1.2,1.27,0.75,0.49,0.08,5,2,A
2022-11-21,La Liga,Real Madrid,Sevilla,2,0,2.39,0.67,0.27,0.97,0.87,0.15,5,2,H
2022-11-28,La Liga,Sevilla,Atletico Madrid,2,1,2.72,0.89,0.31,1.38,0.16,0.91,2,2,H
2022-12-05,La Liga,Atletico Madrid,Barcelona,1,1,2.41,1.43,1.24,0.94,0.58,0.76,2,2,D
2022-12-12,La Liga,Atletico Madrid,Real Madrid,1,1,0.95,1.47,0.63,0.39,0.39,0.9,3,4,D
2022-12-19,La Liga,Real Madrid,Atletico Madrid,0,2,0.1,2.13,1.17,1.68,0.41,0.2,3,4,A
2022-12-26,La Liga,Sevilla,Barcelona,1,3,1.66,4.03,1.1,1.07,0.57,0.57,2,3,A
2023-01-02,La Liga,Atletico Madrid,Real Madrid,2,1,2.27,0.8,0.06,0.45,0.09,0.68,6,3,H
2023-01-09,La Liga,Sevilla,Real Madrid,2,1,2.88,1.88,0.13,0.13,0.84,1.0,5,7,H
2023-01-16,La Liga,Barcelona,Sevilla,2,0,2.94,0.1,1.7,0.12,0.97,0.91,2,5,H
2023-01-23,La Liga,Real Madrid,Barcelona,2,0,2.42,0.39,0.29,0.89,0.23,0.32,3,3,H
2023-01-30,La Liga,Barcelona,Atletico Madrid,1,1,1.37,2.13,0.43,1.53,0.89,0.67,4,4,D
2023-02-06,La Liga,Real Madrid,Barcelona,2,2,3.26,2.1,1.22,0.22,0.32,0.58,4,6,D
2023-02-13,La Liga,Sevilla,Atletico Madrid,1,1,1.24,1.11,1.66,1.76,0.93,0.68,3,3,D
2023-02-20,La Liga,Atletico Madrid,Sevilla,0,0,0.73,0.1,0.83,1.09,0.85,0.47,3,3,D
2023-02-27,La Liga,Sevilla,Atletico Madrid,3,1,3.14,1.31,0.29,0.31,0.74,0.21,2,2,H
2023-03-06,La Liga,Barcelona,Sevilla,2,0,1.92,0.1,0.33,0.03,0.3,0.04,4,6,H
2023-03-13,La Liga,Atletico Madrid,Sevilla,0,1,0.1,1.71,1.59,1.05,0.42,0.54,5,4,A
2023-03-20,La Liga,Atletico Madrid,Barcelona,1,3,2.05,2.21,0.29,0.92,0.98,0.29,3,7,A
2023-03-27,La Liga,Atletico Madrid,Real Madrid,0,1,0.14,0.68,1.15,1.14,0.0,0.48,2,5,A
2023-04-03,La Liga,Sevilla,Atletico Madrid,2,1,2.21,1.98,1.14,0.83,0.09,0.5,5,2,H
2023-04-10,La Liga,Barcelona,Real Madrid,1,2,2.23,2.75,0.42,1.49,0.8,0.25,7,6,A
2023-04-17,La Liga,Real Madrid,Barcelona,1,1,2.37,1.72,0.27,0.57,0.67,0.5,3,7,D
2023-04-24,La Liga,Barcelona,Atletico Madrid,2,0,3.63,0.1,1.23,1.44,0.71,0.81,3,2,H
2023-05-01,La Liga,Sevilla,Barcelona,1,1,1.84,0.1,1.18,0.85,0.64,0.68,5,7,D
2023-05-08,La Liga,Real Madrid,Atletico Madrid,2,1,2.16,1.78,0.46,1.1,0.77,0.26,7,6,H
2023-05-15,La Liga,Barcelona,Atletico Madrid,1,0,1.99,0.1,1.41,1.57,0.57,0.94,7,5,H
2023-05-22,La Liga,Barcelona,Sevilla,1,0,1.83,0.1,1.76,0.42,0.62,0.12,3,6,H
2023-05-29,La Liga,Sevilla,Barcelona,0,1,0.77,1.28,1.39,0.19,0.33,0.05,2,4,A
2023-06-05,La Liga,Atletico Madrid,Barcelona,1,0,1.17,0.92,0.88,0.06,0.86,0.54,5,7,H
2023-06-12,La Liga,Barcelona,Sevilla,2,2,2.33,2.73,0.13,0.09,0.36,0.53,7,6,D
2023-06-19,La Liga,Sevilla,Real Madrid,0,1,0.1,1.45,0.22,0.78,0.69,0.76,6,7,A
